!,š,100v.5.8
!89,šbi,115v.23.5
!9,ši,37r.10.5
!?s,š?l,1r.6.7
!A,šk',37v.9.3
!Co,šθo,100v.3.5
!Cs,šθl,47v.5.2
!H,šgʰ,25v.7.5
!Kae,šjum,8v.2.1
!c89,škbi,41r.6.9
!c9,ški,68v1.outer_ring.3
!cH9,škgʰi,46r.2.12
!cae,škum,89v2.labels_top.5
!cam,škuŋg,21v.7.6
!cckC(,škkħθi,85r1.24.8
!ch9,škci,29v.7.8
!coe 2c9,škom ški,3r.11.4
!cohan,škocurg,111v.1.6
!coy,škos,rose.west_ring.6
!cs,škl,72r3.5th_ring.19
!o,šo,17v.20.5
!o,šo,90r1.5.4
!o 9k,šo iħ,101v2-v1.4.22
!o8am,šobuŋg,85r1.23.2
!oF9,šoti,86v3.center_1.3
!oe,šom,1r.6.4
!oe,šom,15v.8.6
!oe,šom,22v.14.3
!oe,šom,86v3.center_4.5
!oeom,šomoŋg,52v.7.2
!oh1C9,šocšθi,1r.19.3
!ohaZ,šocuŋs,66r.10.7
!oy,šos,4r.8.1
!oy,šos,18v.1.2
!oy h19,šos cši,49r.1.8
!oy89,šosbi,11v.1.3
!oy9,šosi,1r.1.6
#9,ši,13r.5.2
#9,ši,22v.1.7
#C h1c9,šθ cški,87r.3.6
#C9,šθi,82r.31.7
#Ch9,šθci,111r.2.2
#am,šuŋg,36r.1.6
#cW19,škcši,41r.3.7
#cam,škuŋg,30v.1.7
#ch 8an,škc burg,81v.1.9
#coe,škom,79r.31.3
#o,šo,15v.7.3
#o,šo,30r.6.2
#o,šo,30v.1.4
#o89,šobi,22v.9.2
#o8ay9,šobusi,1r.6.9
#oe,šom,4r.8.3
#oe,šom,8r.17.5
#oe,šom,22r.7.2
#oe,šom,47r.6.5
#op,šon,24r.19.4
#oy,šos,8r.8.7
#oy,šos,29v.1.2
$,l,28v.9.4
$,l,34r.7.8
$,l,51v.4.5
$,l,76r.left_text.9
$,l,77r.33.10
$,l,79v.7.7
$,l,rose.center_ring_2.1
$,l,93v.10.4
$am,luŋg,108r.30.7
$ap,lun,83r.10.11
$ay,lus,17v.17.2
$hae,lcum,83r.10.6
$oe2c9y,lomškis,87r.8.1
%,š,54r.5.2
%79,šfi,26v.1.10
%8am,šbuŋg,103r.16.3
%9,ši,46r.10.2
%9 Hoe,ši gʰom,72r3.5th_ring.22
%C,šθ,113r.40.9
%C9,šθi,26r.3.9
%C9,šθi,76r.46.2
%C9,šθi,86v4.2.13
%C9,šθi,100r.1.7
%ChC9,šθcθi,79r.4.5
%Cs,šθl,76v.29.7
%H89,šgʰbi,33v.7.3
%H9,šgʰi,49v.10.3
%H9,šgʰi,103r.31.6
%Jo oy,šdo os,106v.37.6
%ae,šum,103v.21.2
%ap,šun,24r.17.3
%ay,šus,58r.12.9
%ay,šus,77v.29.2
%c,šk,54r.6.8
%c,šk,82r.31.2
%c79,škfi,43v.6.6
%c79,škfi,76v.23.5
%c79,škfi,80v.32.8
%c79,škfi,82r.19.7
%c79,škfi,rose.neast_ring.21
%c79,škfi,103r.22.6
%c8,škb,108v.31.3
%c8,škb,111r.6.6
%c89,škbi,72v1.outer_ring.31
%c89,škbi,76v.41.9
%c89,škbi,77v.21.2
%c89,škbi,81r.26.6
%c89,škbi,103v.7.8
%c89,škbi,103v.17.6
%c89,škbi,114r.11.5
%c89,škbi,116r.25.3
%c8aikan,škburħurg,111v.11.9
%c9,ški,4v.5.5
%c9,ški,21v.1.6
%c9,ški,39r.1.9
%c9,ški,72v2.3rd_ring.11
%c9,ški,82v.5.6
%c9,ški,85r1.17.2
%c9,ški,90v2.7.1
%c9,ški,103r.12.2
%c9,ški,103r.26.6
%c9,ški,103v.36.2
