!,100v.5.8
!89,115v.23.5
!9,37r.10.5
!?s,1r.6.7
!A,37v.9.3
!Co,100v.3.5
!Cs,47v.5.2
!H,25v.7.5
!Kae,8v.2.1
!c89,41r.6.9
!c9,68v1.outer_ring.3
!cH9,46r.2.12
!cae,89v2.labels_top.5
!cam,21v.7.6
!cckC(,85r1.24.8
!ch9,29v.7.8
!coe 2c9,3r.11.4
!cohan,111v.1.6
!coy,rose.west_ring.6
!cs,72r3.5th_ring.19
!o,17v.20.5
!o,90r1.5.4
!o 9k,101v2-v1.4.22
!o8am,85r1.23.2
!oF9,86v3.center_1.3
!oe,1r.6.4
!oe,15v.8.6
!oe,22v.14.3
!oe,86v3.center_4.5
!oeom,52v.7.2
!oh1C9,1r.19.3
!ohaZ,66r.10.7
!oy,4r.8.1
!oy,18v.1.2
!oy h19,49r.1.8
!oy89,11v.1.3
!oy9,1r.1.6
#9,13r.5.2
#9,22v.1.7
#C h1c9,87r.3.6
#C9,82r.31.7
#Ch9,111r.2.2
#am,36r.1.6
#cW19,41r.3.7
#cam,30v.1.7
#ch 8an,81v.1.9
#coe,79r.31.3
#o,15v.7.3
#o,30r.6.2
#o,30v.1.4
#o89,22v.9.2
#o8ay9,1r.6.9
#oe,4r.8.3
#oe,8r.17.5
#oe,22r.7.2
#oe,47r.6.5
#op,24r.19.4
#oy,8r.8.7
#oy,29v.1.2
$,28v.9.4
$,34r.7.8
$,51v.4.5
$,76r.left_text.9
$,77r.33.10
$,79v.7.7
$,rose.center_ring_2.1
$,93v.10.4
$am,108r.30.7
$ap,83r.10.11
$ay,17v.17.2
$hae,83r.10.6
$oe2c9y,87r.8.1
%,54r.5.2
%79,26v.1.10
%8am,103r.16.3
%9,46r.10.2
%9 Hoe,72r3.5th_ring.22
%C,113r.40.9
%C9,26r.3.9
%C9,76r.46.2
%C9,86v4.2.13
%C9,100r.1.7
%ChC9,79r.4.5
%Cs,76v.29.7
%H89,33v.7.3
%H9,49v.10.3
%H9,103r.31.6
%Jo oy,106v.37.6
%ae,103v.21.2
%ap,24r.17.3
%ay,58r.12.9
%ay,77v.29.2
%c,54r.6.8
%c,82r.31.2
%c79,43v.6.6
%c79,76v.23.5
%c79,80v.32.8
%c79,82r.19.7
%c79,rose.neast_ring.21
%c79,103r.22.6
%c8,108v.31.3
%c8,111r.6.6
%c89,72v1.outer_ring.31
%c89,76v.41.9
%c89,77v.21.2
%c89,81r.26.6
%c89,103v.7.8
%c89,103v.17.6
%c89,114r.11.5
%c89,116r.25.3
%c8aikan,111v.11.9
%c9,4v.5.5
%c9,21v.1.6
%c9,39r.1.9
%c9,72v2.3rd_ring.11
%c9,82v.5.6
%c9,85r1.17.2
%c9,90v2.7.1
%c9,103r.12.2
%c9,103r.26.6
%c9,103v.36.2
%c9,107r.26.2
%c9,113v.47.8
%c9 hc89,107v.9.2
%cAe2o,106v.7.2
%cK9,80r.6.7
%cax,106v.9.9
%cay,79r.36.10
%cay,113v.45.3
%cc9,69r.2.5
%cco,57r.9.2
%chc9,66r.2.2
%cj,70r2.1.4
%co,58v.35.8
%co,93r.2.6
%co,115v.41.2
%co e,106v.25.2
%co8ae,89r2.8.12
%coH9,96r.4.7
%coJ9,113r.37.4
%coKap,58r.35.9
%coc,105v.27.1
%coe,99r.2.5
%coe,102r1.3.2
%coe,104v.27.4
%coeh19,113r.48.5
%coeo,75v.15.15
%cos,89v2.10.8
%cox,100r.7.2
%coy,66r.15.9
%coy,96r.5.5
%coy,101r1-r2.7.14
%coy,103r.13.2
%d9,107r.8.2
%e,107r.35.2
%o,20v.4.1
%o,101r1-r2.6.2
%o,111v.12.7
%o 8am,104v.29.2
%o am,113r.4.3
%o8,115r.31.1
%o89,101r1-r2.6.3
%o89 jc%9,26v.9.3
%oam,36v.1.3
%oe,8r.17.7
%oe,47r.6.7
%oe,72v2.3rd_ring.7
%oe,99r.2.8
%oe,106v.7.5
%oe Koe,4r.2.3
%oe89,83v.12.11
%oehay,103r.16.2
%oh19,54r.4.3
%oj5c89,85r1.23.3
%oy,8v.14.1
%oy,16r.2.4
%oy,23v.6.2
%oy,37r.6.1
%oy,52v.11.2
%oy 2oy29,49r.10.4
%oy1am,35r.9.5
%oyae,85r2.quad_2_4.3
&,57v.2nd_ring.3
&19,27v.2.6
&1oh19,27v.3.3
&W2c9,95v1.6.5
&am,66r.19.4
&an,111v.18.14
&ayay9,82r.label_bottom_1.5
&az,1v.5.3
(,19v.10.5
(,57v.2nd_ring.15
(,70r2.3.2
(,101r1-r2.9.21
( 9ham,58v.11.6
( aZ,105r.12.1
(189h189,41r.3.4
(1c9,8r.14.1
(1c9,102v1.11.2
(1cs,31r.12.2
(3coe,21r.12.4
(7an,1r.20.1
(8ae,72r1.outer_ring.27
(8ap,39v.9.7
(Ho89,22r.11.2
(L9,57r.10.7
(c1oh9,41r.2.7
(h19,17r.8.4
(h19,19v.2.5
(h19,29r.2.2
(h1A8am,51r.6.3
(h1oe,19v.13.2
(h1oy,44v.5.5
(h9,53r.4.2
(hAm,37v.19.2
(hC29,58r.36.6
(hae,55v.10.9
(hae8,51r.6.4
(ham,14r.8.5
(ham,29v.7.4
(ham,39r.5.3
(ham,87v.13.4
(hay,54v.3.2
(hay,58r.38.5
(haz,105r.32.4
(hcc(,31r.11.9
(hcc9,72r3.outer_ring.4
(hcoe,99r.14.1
(hcoy,73v.2nd_ring.5
(hicoe,51r.13.3
(hoe,89v1.13.3
(j1c89,51r.1.4
(k1ae9,58r.14.4
(k1c9,5v.1.3
(k1c9,65v.6.2
(k1cch9,41r.4.2
(k1oe,100v.labels_3.2
(kaijop,58r.34.7
(kcc9,89v1.2.8
(kccoe 89,101r1-r2.3.11
(kco8,72v1.2nd_ring.19
(ko,1r.16.1
(koe hae,58r.38.9
(o,65v.6.1
(o8am,6r.13.2
(oh1o,25v.4.2
(oh9,79r.8.7
(ohc89,41r.3.3
(ohoy,19v.10.4
(Ó(,84v.labels_bottom_right.5
*,18r.11.5
*,23r.3.6
*,23v.8.5
*,23v.9.10
*,26v.3.12
*,45r.8.9
*,57v.outer_ring.11
*,67v2.outer_ring_north_1.7
*,93r.29.5
+,66r.glyph_column.4
+9hcc9,30r.13.4
+C9,76r.38.8
+Ch9,80v.3.6
+Kam,1r.17.2
+aN,15r.12.6
+ay,89r1.1.2
+c,17v.17.3
+c,112r.17.2
+c8,76r.7.1
+c89,66r.21.5
+c89,78r.1.2
+c9,11r.1.6
+c9,77v.32.10
+c9,115v.29.6
+c9,116r.40.2
+cH9,76v.28.6
+cam,47r.1.3
+cay,1r.20.6
+cc8(,78v.26.3
+cc9,7r.3.3
+cf!oyo,85r1.11.8
+ch,103r.2.2
+chay,84r.labels_top_1.3
+choe,66r.29.7
+ck9,71v.3rd_ring.4
+co,4v.10.2
+co,89r1.10.2
+co,93r.11.5
+co,96r.9.2
+co,101r1-r2.3.21
+co,105r.24.9
+co Hc9,104r.23.2
+co79,58r.23.5
+coAy,101r1-r2.7.13
+coe,77v.3.8
+coe,103r.40.4
+coe8ap,3r.9.3
+coeam,72r1.3rd_ring.8
+cog2oe,1r.15.4
+cos,29r.5.3
+cosap,67r1.center.7
+cs,57v.3rd_ring.4
+csc,90v2.1.6
+o,3r.9.1
+o,28v.7.6
+o,42r.14.1
+o,47v.4.4
+o,54r.7.5
+o,58v.14.6
+o,102v2.11.2
+o8,1r.3.5
+o8,114v.22.2
+o89,29v.6.8
+o89,87v.1.4
+o89,104r.16.11
+o9,102v2.10.5
+o9k9,11r.1.8
+oe,8v.3.6
+oe,42v.10.4
+oe,44v.1.7
+oe,113r.17.3
+om,14r.1.3
1,30r.4.6
1,75r.44.10
1,103v.15.5
1,108r.8.8
1 19,101r1-r2.6.10
1 2gaz an,rose.west_center.6
1 4,72r2.outer_ring.27
1 4h5C(,105r.15.1
1 7oy,77v.35.3
1 H9,84r.12.8
1 H9,103v.44.8
1 Ka*,95r2.8.9
1 Y,111r.13.6
1 ae,116r.50.2
1 am,111r.53.6
1 ax an,108v.51.6
1 ay am,104r.21.5
1 c8 an,114v.8.6
1 c9,49v.24.3
1 cck,49r.8.4
1 co hco 8ae 1oe,72r2.outer_ring.10
1 coe 89,80v.17.5
1 dk1oe,68v3.3.10
1 e ae,106r.29.3
1 hAy,16v.6.2
1 ham,28v.6.2
1 hcco89,66v.12.10
1 l9,102v2.1.5
1 okam,2r.4.5
1 s,3v.4.2
1!9,29v.5.5
1(,58r.28.4
1(,78r.27.11
1189,115r.18.6
118ap,rose.seast_ring.17
119,104v.38.3
11C9,113r.40.4
11ck,70r2.2.6
11ok9,29r.2.7
11s,72r2.center_ring.7
11s9,56r.1.2
129,77v.4.4
12o,115r.22.2
12oe,38v.8.4
12ok9,9v.11.2
14cos,100r.1.6
169,73v.3rd_ring.7
16am,114r.6.9
16ay,108r.50.7
17,94v.3.2
17 am,105r.18.7
179,26r.5.3
179,33v.6.6
179,33v.6.9
179,34v.9.8
179,34v.10.7
179,39r.2.7
179,39r.5.2
179,39r.11.6
179,40r.3.3
179,40r.10.3
179,40v.14.10
179,48v.1.10
179,48v.10.5
179,50v.2.6
179,55r.3.6
179,55r.6.7
179,69r.outside_ring.26
179,70r2.12.6
179,76r.34.10
179,77v.7.10
179,77v.8.3
179,78v.11.7
179,80v.42.8
179,82r.14.9
179,82v.15.6
179,84v.32.8
179,85r1.30.7
179,86v6.3.12
179,86v5.3.2
179,86v3.north_5.3
179,86v3.east_2.6
179,86v3.east_3.8
179,94v.11.5
179,94v.12.3
179,95r2.1.3
179,95r2.6.6
179,95v1.4.10
179,95v1.7.7
179,106v.12.5
179,107r.31.3
179,107r.31.10
179,111r.6.10
179,112r.13.3
179 9h9,68r3.pieslice_3.3
179289,33v.7.9
179han,95v2.7.3
17C9,104v.5.2
17ae,33r.5.10
17ae,34v.3.3
17ae,41v.7.5
17ae,46v.4.3
17ae,86v3.south_2.3
17ae,106v.24.6
17ae haz,106r.45.6
17aeoy,46r.6.6
17am,34v.2.6
17am,rose.neast_labels_4.2
17am,95r1.7.5
17an,34r.2.6
17an,77v.36.7
17ap,39r.14.10
17ap,46r.14.7
17ap,46v.11.3
17ap,46v.11.5
17ap,95v1.6.10
17ap,106v.4.7
17ay,34v.8.9
17ay,39r.13.2
17ay,67r1.outer_ring.30
17ay,86v3.north_6.6
17ay,rose.center_ring_2.26
17ay,107v.22.6
17cm,113v.16.5
17i9,111v.25.4
17o89,46v.4.6
17oeom,55r.4.10
17s,85r2.quad_4_3.2
18,34r.3.5
18,36v.12.4
18,46r.10.4
18,115r.6.12
18,116r.10.1
18(,66r.21.3
18189,86v4.3rd_ring.23
1819,41r.4.1
181oe,68r3.radial_3.2
1879,115v.32.6
189,1r.12.6
189,9r.6.8
189,15r.6.3
189,26r.5.4
189,33v.6.5
189,34r.7.3
189,34v.1.2
189,34v.10.2
189,39r.4.2
189,39r.7.5
189,39v.1.2
189,39v.2.9
189,39v.10.6
189,40r.6.7
189,43r.7.6
189,43v.3.7
189,43v.10.4
189,43v.11.10
189,46r.5.5
189,46r.7.8
189,46r.12.11
189,46v.5.4
189,47r.1.6
189,47r.6.9
189,47v.11.3
189,48v.10.8
189,56r.4.7
189,58r.30.5
189,66r.4.3
189,66r.21.7
189,68v2.radial_4.2
189,69v.3rd_ring.4
189,70r2.13.4
189,73r.2nd_ring.14
189,75r.10.3
189,76r.4.10
189,76r.21.11
189,76v.17.11
189,77r.2.6
189,77v.6.3
189,81v.3.8
189,81v.12.3
189,81v.16.11
189,83r.35.5
189,84v.labels_top_1.3
189,84v.17.6
189,84v.29.4
189,85r1.30.6
189,85r2.quad_1_1.4
189,86v4.3rd_ring.8
189,86v6.15.6
189,86v6.42.8
189,86v5.8.10
189,86v3.west_3.4
189,rose.seast_center_12.3
189,89v1.10.9
189,94r.8.4
189,94r.9.2
189,94v.3.7
189,95r1.2.2
189,95r1.2.3
189,95r1.2.7
189,95r1.2.9
189,95r1.7.8
189,95r1.9.5
189,95r1.11.3
189,95r2.6.7
189,103v.46.6
189,104r.13.11
189,104v.16.8
189,105r.18.12
189,106r.2.6
189,106r.18.11
189,106r.35.4
189,106v.3.10
189,106v.23.6
189,106v.26.5
189,106v.42.9
189,108r.4.3
189,108r.7.7
189,108r.17.6
189,108r.27.11
189,108r.33.6
189,108r.36.7
189,108r.50.3
189,112r.12.4
189,112r.23.7
189,112v.36.5
189,114r.5.4
189,114r.5.12
189,114r.28.9
189,114r.32.8
189,114v.11.3
189,114v.20.9
189,114v.27.6
189,115r.16.8
189,115r.31.3
189,115v.23.3
189,115v.28.8
189,116r.7.2
189,116r.12.12
189 e1c89,103v.43.8
189 g8am,114r.22.6
189 k9,95v2.2.5
189h1c89,107r.9.8
18A,69v.3rd_ring.10
18aZ8an9,72r1.2nd_ring.4
18ae,33r.3.6
18ae,34r.12.7
18ae,76r.45.7
18ae,83r.bottom_left_3.4
18ae,85r1.11.6
18ae,86v6.3.3
18ae,86v6.3.10
18ae,86v6.8.8
18ae,105v.36.7
18ae,106v.4.6
18ae,108r.27.7
18ae,112v.46.9
18ae,114v.16.8
18ae,115v.33.4
18ae a,107r.25.10
18ae189,34v.1.7
18ae79,106r.40.11
18ae9,34r.3.3
18ae9,103r.30.9
18ae9,112v.16.9
18aie,68v3.spiral_5.3
18am,34v.4.5
18am,95r1.8.2
18am,95r2.9.6
18am,105v.36.9
18am,106v.24.5
18am,112v.17.5
18am,114r.10.4
18am,114v.8.4
18am,114v.16.7
18am,114v.21.4
18am,115v.9.2
18an,39r.1.3
18an,42r.14.4
18an,95r1.7.4
18an,113r.20.6
18an,115v.15.7
18ap,46r.6.12
18ap,76r.4.13
18ap,106r.16.12
18ap,112v.34.8
18ay,73r.3rd_ring.9
18ay,76v.21.3
18ay,78r.39.3
18ay,86v4.2nd_ring.18
18ay,86v6.4.9
18ay,rose.nwest_ring.10
